date,one_yr_monthly_beta
2015-01-30,
2015-02-02,1.7267
2015-02-03,1.7267
2015-02-04,1.7267
2015-02-05,1.7267
2015-02-06,1.7267
2015-02-09,1.7267
2015-02-10,1.7267
2015-02-11,1.7267
2015-02-12,1.7267
2015-02-13,1.7267
2015-02-16,1.7267
2015-02-17,1.7267
2015-02-18,1.7267
2015-02-19,1.7267
2015-02-20,1.7267
2015-02-23,1.7267
2015-02-24,1.7267
2015-02-25,1.7267
2015-02-26,1.7267
2015-02-27,1.7267
2015-03-02,1.1443
2015-03-03,1.1443
2015-03-04,1.1443
2015-03-05,1.1443
2015-03-06,1.1443
2015-03-09,1.1443
2015-03-10,1.1443
2015-03-11,1.1443
2015-03-12,1.1443
2015-03-13,1.1443
2015-03-16,1.1443
2015-03-17,1.1443
2015-03-18,1.1443
2015-03-19,1.1443
2015-03-20,1.1443
2015-03-23,1.1443
2015-03-24,1.1443
2015-03-25,1.1443
2015-03-26,1.1443
2015-03-27,1.1443
2015-03-30,1.1443
2015-03-31,1.4516
2015-04-01,1.4516
2015-04-02,1.4516
2015-04-03,1.4516
2015-04-06,1.4516
2015-04-07,1.4516
2015-04-08,1.4516
2015-04-09,1.4516
2015-04-10,1.4516
2015-04-13,1.4516
2015-04-14,1.4516
2015-04-15,1.4516
2015-04-16,1.4516
2015-04-17,1.4516
2015-04-20,1.4516
2015-04-21,1.4516
2015-04-22,1.4516
2015-04-23,1.4516
2015-04-24,1.4516
2015-04-27,1.4516
2015-04-28,1.4516
2015-04-29,1.4516
2015-04-30,1.4469999999999998
2015-05-01,1.4469999999999998
2015-05-04,1.4469999999999998
2015-05-05,1.4469999999999998
2015-05-06,1.4469999999999998
2015-05-07,1.4469999999999998
2015-05-08,1.4469999999999998
2015-05-11,1.4469999999999998
2015-05-12,1.4469999999999998
2015-05-13,1.4469999999999998
2015-05-14,1.4469999999999998
2015-05-15,1.4469999999999998
2015-05-18,1.4469999999999998
2015-05-19,1.4469999999999998
2015-05-20,1.4469999999999998
2015-05-21,1.4469999999999998
2015-05-22,1.4469999999999998
2015-05-25,1.4469999999999998
2015-05-26,1.4469999999999998
2015-05-27,1.4469999999999998
2015-05-28,1.4469999999999998
2015-05-29,1.4469999999999998
2015-06-01,1.4723
2015-06-02,1.4723
2015-06-03,1.4723
2015-06-04,1.4723
2015-06-05,1.4723
2015-06-08,1.4723
2015-06-09,1.4723
2015-06-10,1.4723
2015-06-11,1.4723
2015-06-12,1.4723
2015-06-15,1.4723
2015-06-16,1.4723
2015-06-17,1.4723
2015-06-18,1.4723
2015-06-19,1.4723
2015-06-22,1.4723
2015-06-23,1.4723
2015-06-24,1.4723
2015-06-25,1.4723
2015-06-26,1.4723
2015-06-29,1.4723
2015-06-30,1.5436
2015-07-01,1.5436
2015-07-02,1.5436
2015-07-03,1.5436
2015-07-06,1.5436
2015-07-07,1.5436
2015-07-08,1.5436
2015-07-09,1.5436
2015-07-10,1.5436
2015-07-13,1.5436
2015-07-14,1.5436
2015-07-15,1.5436
2015-07-16,1.5436
2015-07-17,1.5436
2015-07-20,1.5436
2015-07-21,1.5436
2015-07-22,1.5436
2015-07-23,1.5436
2015-07-24,1.5436
2015-07-27,1.5436
2015-07-28,1.5436
2015-07-29,1.5436
2015-07-30,1.5436
2015-07-31,1.4245
2015-08-03,1.4245
2015-08-04,1.4245
2015-08-05,1.4245
2015-08-06,1.4245
2015-08-07,1.4245
2015-08-10,1.4245
2015-08-11,1.4245
2015-08-12,1.4245
2015-08-13,1.4245
2015-08-14,1.4245
2015-08-17,1.4245
2015-08-18,1.4245
2015-08-19,1.4245
2015-08-20,1.4245
2015-08-21,1.4245
2015-08-24,1.4245
2015-08-25,1.4245
2015-08-26,1.4245
2015-08-27,1.4245
2015-08-28,1.4245
2015-08-31,1.4747
2015-09-01,1.4747
2015-09-02,1.4747
2015-09-03,1.4747
2015-09-04,1.4747
2015-09-07,1.4747
2015-09-08,1.4747
2015-09-09,1.4747
2015-09-10,1.4747
2015-09-11,1.4747
2015-09-14,1.4747
2015-09-15,1.4747
2015-09-16,1.4747
2015-09-17,1.4747
2015-09-18,1.4747
2015-09-21,1.4747
2015-09-22,1.4747
2015-09-23,1.4747
2015-09-24,1.4747
2015-09-25,1.4747
2015-09-28,1.4747
2015-09-29,1.4747
2015-09-30,1.4303
2015-10-01,1.4303
2015-10-02,1.4303
2015-10-05,1.4303
2015-10-06,1.4303
2015-10-07,1.4303
2015-10-08,1.4303
2015-10-09,1.4303
2015-10-12,1.4303
2015-10-13,1.4303
2015-10-14,1.4303
2015-10-15,1.4303
2015-10-16,1.4303
2015-10-19,1.4303
2015-10-20,1.4303
2015-10-21,1.4303
2015-10-22,1.4303
2015-10-23,1.4303
2015-10-26,1.4303
2015-10-27,1.4303
2015-10-28,1.4303
2015-10-29,1.4303
2015-10-30,1.4303
2015-11-02,1.252
2015-11-03,1.252
2015-11-04,1.252
2015-11-05,1.252
2015-11-06,1.252
2015-11-09,1.252
2015-11-10,1.252
2015-11-11,1.252
2015-11-12,1.252
2015-11-13,1.252
2015-11-16,1.252
2015-11-17,1.252
2015-11-18,1.252
2015-11-19,1.252
2015-11-20,1.252
2015-11-23,1.252
2015-11-24,1.252
2015-11-25,1.252
2015-11-26,1.252
2015-11-27,1.252
2015-11-30,1.2114
2015-12-01,1.2114
2015-12-02,1.2114
2015-12-03,1.2114
2015-12-04,1.2114
2015-12-07,1.2114
2015-12-08,1.2114
2015-12-09,1.2114
2015-12-10,1.2114
2015-12-11,1.2114
2015-12-14,1.2114
2015-12-15,1.2114
2015-12-16,1.2114
2015-12-17,1.2114
2015-12-18,1.2114
2015-12-21,1.2114
2015-12-22,1.2114
2015-12-23,1.2114
2015-12-24,1.2114
2015-12-25,1.2114
2015-12-28,1.2114
2015-12-29,1.2114
2015-12-30,1.2114
2015-12-31,1.2063
2016-01-01,1.2063
2016-01-04,1.2063
2016-01-05,1.2063
2016-01-06,1.2063
