,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
0,197.0,198.067,194.04,196.31,35824787.0,197.0,2019-08-06,daily,198.067,False,194.04,196.31,35824787.0
1,193.34,198.649,192.58,197.99,52392969.0,193.34,2019-08-05,daily,198.649,False,192.58,197.99,52392969.0
2,204.02,206.43,201.63,205.53,40862122.0,204.02,2019-08-02,daily,206.43,False,201.63,205.53,40862122.0
3,208.43,218.03,206.7435,213.9,54017922.0,208.43,2019-08-01,daily,218.03,False,206.7435,213.9,54017922.0
4,213.04,221.37,211.3,216.42,69281361.0,213.04,2019-07-31,daily,221.37,False,211.3,216.42,69281361.0
5,208.78,210.16,207.31,208.76,33935718.0,208.78,2019-07-30,daily,210.16,False,207.31,208.76,33935718.0
6,209.68,210.64,208.44,208.46,21673389.0,209.68,2019-07-29,daily,210.64,False,208.44,208.46,21673389.0
7,207.74,209.73,207.14,207.48,17618874.0,207.74,2019-07-26,daily,209.73,False,207.14,207.48,17618874.0
8,207.02,209.24,206.73,208.89,13909562.0,207.02,2019-07-25,daily,209.24,False,206.73,208.89,13909562.0
9,208.67,209.15,207.17,207.67,14991567.0,208.67,2019-07-24,daily,209.15,False,207.17,207.67,14991567.0
10,208.84,208.91,207.29,208.46,18355210.0,208.84,2019-07-23,daily,208.91,False,207.29,208.46,18355210.0
11,207.22,207.23,203.61,203.65,22277932.0,207.22,2019-07-22,daily,207.23,False,203.61,203.65,22277932.0
12,202.59,206.5,202.36,205.79,20929307.0,202.59,2019-07-19,daily,206.5,False,202.36,205.79,20929307.0
13,205.66,205.88,203.7,204.0,18582161.0,205.66,2019-07-18,daily,205.88,False,203.7,204.0,18582161.0
14,203.35,205.0915,203.27,204.05,14107450.0,203.35,2019-07-17,daily,205.0915,False,203.27,204.05,14107450.0
15,204.5,206.11,203.5,204.59,16866816.0,204.5,2019-07-16,daily,206.11,False,203.5,204.59,16866816.0
16,205.21,205.87,204.0,204.09,16947420.0,205.21,2019-07-15,daily,205.87,False,204.0,204.09,16947420.0
17,203.3,204.0,202.2,202.45,17595212.0,203.3,2019-07-12,daily,204.0,False,202.2,202.45,17595212.0
18,201.75,204.39,201.71,203.31,20191842.0,201.75,2019-07-11,daily,204.39,False,201.71,203.31,20191842.0
19,203.23,203.73,201.56,201.85,17897138.0,203.23,2019-07-10,daily,203.73,False,201.56,201.85,17897138.0
20,201.24,201.51,198.81,199.2,20578015.0,201.24,2019-07-09,daily,201.51,False,198.81,199.2,20578015.0
21,200.02,201.4,198.41,200.81,25338628.0,200.02,2019-07-08,daily,201.4,False,198.41,200.81,25338628.0
22,204.23,205.08,202.9,203.35,17265518.0,204.23,2019-07-05,daily,205.08,False,202.9,203.35,17265518.0
23,204.41,204.44,202.6901,203.28,11362045.0,204.41,2019-07-03,daily,204.44,False,202.6901,203.28,11362045.0
24,202.73,203.1323,201.36,201.41,16935217.0,202.73,2019-07-02,daily,203.1323,False,201.36,201.41,16935217.0
25,201.55,204.49,200.65,203.17,27316739.0,201.55,2019-07-01,daily,204.49,False,200.65,203.17,27316739.0
26,197.92,199.495,197.05,198.68,31110642.0,197.92,2019-06-28,daily,199.495,False,197.05,198.68,31110642.0
27,199.74,201.57,199.57,200.29,20899717.0,199.74,2019-06-27,daily,201.57,False,199.57,200.29,20899717.0
28,199.8,200.99,197.35,197.77,26067512.0,199.8,2019-06-26,daily,200.99,False,197.35,197.77,26067512.0
29,195.57,199.26,195.29,198.43,21070334.0,195.57,2019-06-25,daily,199.26,False,195.29,198.43,21070334.0
30,198.58,200.16,198.17,198.54,18220421.0,198.58,2019-06-24,daily,200.16,False,198.17,198.54,18220421.0
31,198.78,200.85,198.15,198.8,47800589.0,198.78,2019-06-21,daily,200.85,False,198.15,198.8,47800589.0
32,199.46,200.61,198.03,200.37,21513988.0,199.46,2019-06-20,daily,200.61,False,198.03,200.37,21513988.0
33,197.87,199.88,197.31,199.68,21124235.0,197.87,2019-06-19,daily,199.88,False,197.31,199.68,21124235.0
