date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
12/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
11/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
10/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
09/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
08/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
05/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
04/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
03/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
02/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
01/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
28/06/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
27/06/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
26/06/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
25/06/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
