date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,one_yr_monthly_beta
30/04/2019,30/04/2019,9.40E+11,8.8764,16.4362,0.017759,0.060841,1.2003
29/04/2019,29/04/2019,9.58E+11,9.0507,16.759,0.017417,0.05967,1.2003
26/04/2019,26/04/2019,9.57E+11,9.037,16.7336,0.017443,0.05976,1.2003
25/04/2019,25/04/2019,9.61E+11,9.0804,16.8138,0.01736,0.059475,1.2472
24/04/2019,24/04/2019,9.70E+11,9.1635,16.9678,0.017203,0.058935,1.2472
23/04/2019,23/04/2019,9.72E+11,9.1777,16.994,0.017176,0.058844,1.2472
22/04/2019,22/04/2019,9.58E+11,9.0472,16.7524,0.017424,0.059693,1.2472
18/04/2019,18/04/2019,9.55E+11,9.0175,16.6975,0.017481,0.059889,1.2472
17/04/2019,17/04/2019,9.51E+11,8.9853,16.6377,0.017544,0.060104,1.2472
16/04/2019,16/04/2019,9.33E+11,8.8136,16.3199,0.017885,0.061275,1.2472
15/04/2019,15/04/2019,9.33E+11,8.8127,16.3183,0.017887,0.061281,1.2472
12/04/2019,12/04/2019,9.31E+11,8.7968,16.2888,0.01792,0.061392,1.2472
11/04/2019,11/04/2019,9.32E+11,8.8004,16.2954,0.017912,0.061367,1.2472
10/04/2019,10/04/2019,9.39E+11,8.8742,16.4321,0.017763,0.060856,1.2472
09/04/2019,09/04/2019,9.34E+11,8.8247,16.3404,0.017863,0.061198,1.2472
08/04/2019,08/04/2019,9.37E+11,8.8512,16.3896,0.017809,0.061014,1.2472
05/04/2019,05/04/2019,9.22E+11,8.7141,16.1356,0.01809,0.061975,1.2472
04/04/2019,04/04/2019,9.16E+11,8.6562,16.0283,0.018211,0.062389,1.2472
03/04/2019,03/04/2019,9.15E+11,8.6411,16.0005,0.018242,0.062498,1.2472
02/04/2019,02/04/2019,9.09E+11,8.5823,15.8916,0.018368,0.062926,1.2472
01/04/2019,01/04/2019,8.96E+11,8.4593,15.6639,0.018635,0.063841,1.2472
29/03/2019,29/03/2019,9.03E+11,7.6613,15.1975,0.018761,0.0658,1.2472
28/03/2019,28/03/2019,8.97E+11,7.6116,15.0991,0.018883,0.066229,1.2472
27/03/2019,27/03/2019,8.96E+11,7.6016,15.0791,0.018908,0.066317,1.2472
26/03/2019,26/03/2019,8.88E+11,7.5338,14.9446,0.019078,0.066914,1.0178
25/03/2019,25/03/2019,8.97E+11,7.6125,15.1007,0.018881,0.066222,1.0178
22/03/2019,22/03/2019,9.08E+11,7.7056,15.2855,0.018653,0.065422,1.0178
21/03/2019,21/03/2019,9.28E+11,7.8686,15.6087,0.018267,0.064067,1.0178
20/03/2019,20/03/2019,8.95E+11,7.5891,15.0543,0.01894,0.066426,1.0178
19/03/2019,19/03/2019,8.87E+11,7.5233,14.9238,0.019105,0.067007,1.0178
18/03/2019,18/03/2019,8.94E+11,7.5834,15.0431,0.018954,0.066476,1.0178
15/03/2019,15/03/2019,8.85E+11,7.5068,14.891,0.019147,0.067154,1.0178
14/03/2019,14/03/2019,8.74E+11,7.4104,14.6998,0.019396,0.068028,1.0178
13/03/2019,13/03/2019,8.64E+11,7.3289,14.5382,0.019612,0.068784,1.0178
12/03/2019,12/03/2019,8.60E+11,7.2966,14.4742,0.019699,0.069088,1.0178
11/03/2019,11/03/2019,8.51E+11,7.2156,14.3134,0.01992,0.069865,1.0178
08/03/2019,08/03/2019,8.22E+11,6.974,13.8341,0.02061,0.072285,1.0178
07/03/2019,07/03/2019,8.20E+11,6.9574,13.8013,0.020659,0.072457,1.0178
06/03/2019,06/03/2019,8.30E+11,7.0389,13.963,0.02042,0.071618,1.0178
05/03/2019,05/03/2019,8.35E+11,7.0797,14.0438,0.020302,0.071206,1.0178
04/03/2019,04/03/2019,8.36E+11,7.0926,14.0694,0.020265,0.071076,1.0178
01/03/2019,01/03/2019,8.32E+11,7.0571,13.999,0.020367,0.071434,1.0178
28/02/2019,28/02/2019,8.23E+11,6.9837,13.8533,0.020581,0.072185,1.0178
27/02/2019,27/02/2019,8.31E+11,7.053,13.991,0.020379,0.071475,1.0178
26/02/2019,26/02/2019,8.29E+11,7.0313,13.9478,0.020442,0.071696,1.0178
25/02/2019,25/02/2019,8.28E+11,7.0272,13.9398,0.020454,0.071737,1.0178
22/02/2019,22/02/2019,8.22E+11,6.9764,13.8389,0.020603,0.07226,0.8567
21/02/2019,21/02/2019,8.13E+11,6.8994,13.6861,0.020833,0.073067,0.8567
20/02/2019,20/02/2019,8.18E+11,6.9385,13.7637,0.020715,0.072655,0.8567
19/02/2019,19/02/2019,8.13E+11,6.8941,13.6757,0.020849,0.073122,0.8567
15/02/2019,15/02/2019,8.10E+11,6.8736,13.6349,0.020911,0.073341,0.8567
14/02/2019,14/02/2019,8.12E+11,6.8889,13.6653,0.020865,0.073178,0.8567
13/02/2019,13/02/2019,8.09E+11,6.8639,13.6157,0.020941,0.073445,0.8567
12/02/2019,12/02/2019,8.13E+11,6.8925,13.6725,0.020854,0.073139,0.8567
11/02/2019,11/02/2019,8.06E+11,6.8336,13.5557,0.021033,0.07377,0.8567
08/02/2019,08/02/2019,8.10E+11,6.8732,13.6341,0.020912,0.073345,0.8567
07/02/2019,07/02/2019,8.09E+11,6.8651,13.6181,0.020347,0.073432,0.8567
06/02/2019,06/02/2019,8.25E+11,6.9976,13.881,0.019962,0.072041,0.8567
05/02/2019,05/02/2019,8.25E+11,6.9952,13.8762,0.019969,0.072066,0.8567
04/02/2019,04/02/2019,8.11E+11,6.8775,13.6428,0.02031,0.073299,0.8567
01/02/2019,01/02/2019,7.88E+11,6.6876,13.266,0.020887,0.075381,0.8567
31/01/2019,31/01/2019,7.88E+11,6.6844,13.2596,0.020897,0.075417,0.8567
30/01/2019,30/01/2019,7.82E+11,6.6366,13.1648,0.021048,0.07596,0.8567
29/01/2019,29/01/2019,7.32E+11,6.2121,12.3227,0.022486,0.081151,0.8567
28/01/2019,28/01/2019,7.40E+11,6.2771,12.4518,0.022253,0.08031,0.8567
25/01/2019,25/01/2019,7.47E+11,6.3358,12.5681,0.022047,0.079566,0.8567
24/01/2019,24/01/2019,7.23E+11,6.1326,12.165,0.022778,0.082203,0.8803
23/01/2019,23/01/2019,7.29E+11,6.1815,12.2622,0.022597,0.081551,0.8803
22/01/2019,22/01/2019,7.26E+11,6.1566,12.2128,0.022688,0.081881,0.8803
18/01/2019,18/01/2019,7.42E+11,6.298,12.4932,0.022179,0.080043,0.8803
17/01/2019,17/01/2019,7.38E+11,6.2595,12.4168,0.022316,0.080536,0.8803
16/01/2019,16/01/2019,7.34E+11,6.2225,12.3435,0.022448,0.081015,0.8803
15/01/2019,15/01/2019,7.25E+11,6.1474,12.1945,0.022723,0.082004,0.8803
14/01/2019,14/01/2019,7.10E+11,6.0241,11.9499,0.023188,0.083683,0.8803
11/01/2019,11/01/2019,7.21E+11,6.1161,12.1323,0.022839,0.082424,0.8803
10/01/2019,10/01/2019,7.28E+11,6.1767,12.2526,0.022615,0.081615,0.8803
09/01/2019,09/01/2019,7.26E+11,6.157,12.2136,0.022687,0.081876,0.8803
08/01/2019,08/01/2019,7.14E+11,6.0542,12.0097,0.023072,0.083266,0.8803
07/01/2019,07/01/2019,7.00E+11,5.941,11.785,0.023512,0.084854,0.8803
04/01/2019,04/01/2019,7.02E+11,5.9542,11.8113,0.02346,0.084665,0.8803
03/01/2019,03/01/2019,6.73E+11,5.7105,11.3277,0.024461,0.088279,0.8803
02/01/2019,02/01/2019,7.48E+11,6.3422,12.5809,0.022025,0.079486,0.8803
31/12/2018,31/12/2018,7.47E+11,6.335,12.5665,0.02205,0.079576,0.8803
28/12/2018,28/12/2018,7.75E+11,7.2316,13.0159,0.022263,0.076829,0.8803
27/12/2018,27/12/2018,7.74E+11,7.2279,13.0092,0.022274,0.076869,0.8803
26/12/2018,26/12/2018,7.80E+11,7.2751,13.0942,0.02213,0.07637,0.8803
24/12/2018,24/12/2018,7.28E+11,6.7965,12.2327,0.023688,0.081748,0.8803
21/12/2018,21/12/2018,7.48E+11,6.977,12.5576,0.023075,0.079633,0.8803
20/12/2018,20/12/2018,7.78E+11,7.2594,13.0658,0.022178,0.076535,0.8803
19/12/2018,19/12/2018,7.98E+11,7.4473,13.4041,0.021618,0.074604,0.5345
18/12/2018,18/12/2018,8.24E+11,7.6871,13.8357,0.020944,0.072277,0.5345
17/12/2018,17/12/2018,8.13E+11,7.5885,13.6582,0.021216,0.073216,0.5345
14/12/2018,14/12/2018,8.21E+11,7.6598,13.7865,0.021018,0.072535,0.5345
