date,one_yr_monthly_beta
18/07/2018,0.4047
17/07/2018,0.4047
16/07/2018,0.4047
13/07/2018,0.4047
12/07/2018,0.4047
11/07/2018,0.4047
10/07/2018,0.4047
09/07/2018,0.4047
06/07/2018,0.4047
05/07/2018,0.4047
04/07/2018,0.4047
03/07/2018,0.4047
02/07/2018,0.4047
29/06/2018,0.3947
28/06/2018,0.3947
27/06/2018,0.3947
26/06/2018,0.3947
25/06/2018,0.3947
22/06/2018,0.3947
21/06/2018,0.3947
20/06/2018,0.3947
19/06/2018,0.3947
18/06/2018,0.3947
15/06/2018,0.3947
14/06/2018,0.3947
13/06/2018,0.3947
12/06/2018,0.3947
11/06/2018,0.3947
08/06/2018,0.3947
07/06/2018,0.3947
06/06/2018,0.3947
05/06/2018,0.3947
04/06/2018,0.3947
01/06/2018,0.3947
31/05/2018,0.3947
30/05/2018,0.4385
29/05/2018,0.4385
28/05/2018,0.4385
25/05/2018,0.4385
24/05/2018,0.4385
23/05/2018,0.4385
22/05/2018,0.4385
21/05/2018,0.4385
18/05/2018,0.4385
17/05/2018,0.4385
16/05/2018,0.4385
15/05/2018,0.4385
14/05/2018,0.4385
11/05/2018,0.4385
10/05/2018,0.4385
09/05/2018,0.4385
08/05/2018,0.4385
07/05/2018,0.4385
04/05/2018,0.4385
03/05/2018,0.4385
02/05/2018,0.4385
01/05/2018,0.4385
30/04/2018,0.4385
27/04/2018,0.4668
26/04/2018,0.4668
25/04/2018,0.4668
24/04/2018,0.4668
23/04/2018,0.4668
20/04/2018,0.4668
19/04/2018,0.4668
18/04/2018,0.4668
17/04/2018,0.4668
16/04/2018,0.4668
13/04/2018,0.4668
12/04/2018,0.4668
11/04/2018,0.4668
10/04/2018,0.4668
09/04/2018,0.4668
06/04/2018,0.4668
05/04/2018,0.4668
04/04/2018,0.4668
03/04/2018,0.4668
02/04/2018,0.4668
30/03/2018,0.6562
29/03/2018,0.6562
28/03/2018,0.6562
27/03/2018,0.6562
26/03/2018,0.6562
23/03/2018,0.6562
22/03/2018,0.6562
21/03/2018,0.6562
20/03/2018,0.6562
19/03/2018,0.6562
16/03/2018,0.6562
15/03/2018,0.6562
14/03/2018,0.6562
13/03/2018,0.6562
12/03/2018,0.6562
09/03/2018,0.6562
08/03/2018,0.6562
07/03/2018,0.6562
06/03/2018,0.6562
05/03/2018,0.6562
02/03/2018,0.6562
01/03/2018,0.6562
28/02/2018,0.6562
27/02/2018,0.7983
26/02/2018,0.7983
23/02/2018,0.7983
22/02/2018,0.7983
21/02/2018,0.7983
20/02/2018,0.7983
19/02/2018,0.7983
16/02/2018,0.7983
15/02/2018,0.7983
14/02/2018,0.7983
13/02/2018,0.7983
12/02/2018,0.7983
09/02/2018,0.7983
08/02/2018,0.7983
07/02/2018,0.7983
06/02/2018,0.7983
05/02/2018,0.7983
02/02/2018,0.7983
01/02/2018,0.7983
31/01/2018,0.7983
30/01/2018,1.4001
29/01/2018,1.4001
26/01/2018,1.4001
25/01/2018,1.4001
24/01/2018,1.4001
23/01/2018,1.4001
22/01/2018,1.4001
19/01/2018,1.4001
18/01/2018,1.4001
17/01/2018,1.4001
16/01/2018,1.4001
15/01/2018,1.4001
12/01/2018,1.4001
11/01/2018,1.4001
10/01/2018,1.4001
09/01/2018,1.4001
08/01/2018,1.4001
05/01/2018,1.4001
04/01/2018,1.4001
03/01/2018,1.4001
02/01/2018,1.4001
01/01/2018,1.4001
29/12/2017,1.2177
28/12/2017,1.2177
27/12/2017,1.2177
26/12/2017,1.2177
25/12/2017,1.2177
22/12/2017,1.2177
21/12/2017,1.2177
20/12/2017,1.2177
19/12/2017,1.2177
18/12/2017,1.2177
15/12/2017,1.2177
14/12/2017,1.2177
13/12/2017,1.2177
12/12/2017,1.2177
11/12/2017,1.2177
08/12/2017,1.2177
07/12/2017,1.2177
06/12/2017,1.2177
05/12/2017,1.2177
04/12/2017,1.2177
01/12/2017,1.2177
30/11/2017,1.2177
29/11/2017,1.6105
28/11/2017,1.6105
27/11/2017,1.6105
24/11/2017,1.6105
23/11/2017,1.6105
22/11/2017,1.6105
21/11/2017,1.6105
20/11/2017,1.6105
17/11/2017,1.6105
16/11/2017,1.6105
15/11/2017,1.6105
14/11/2017,1.6105
13/11/2017,1.6105
10/11/2017,1.6105
09/11/2017,1.6105
08/11/2017,1.6105
07/11/2017,1.6105
06/11/2017,1.6105
03/11/2017,1.6105
02/11/2017,1.6105
01/11/2017,1.6105
31/10/2017,1.6105
30/10/2017,1.8188
27/10/2017,1.8188
26/10/2017,1.8188
25/10/2017,1.8188
24/10/2017,1.8188
23/10/2017,1.8188
20/10/2017,1.8188
19/10/2017,1.8188
18/10/2017,1.8188
17/10/2017,1.8188
16/10/2017,1.8188
13/10/2017,1.8188
12/10/2017,1.8188
11/10/2017,1.8188
10/10/2017,1.8188
09/10/2017,1.8188
06/10/2017,1.8188
05/10/2017,1.8188
04/10/2017,1.8188
03/10/2017,1.8188
02/10/2017,1.8188
29/09/2017,1.8404
28/09/2017,1.8404
27/09/2017,1.8404
26/09/2017,1.8404
25/09/2017,1.8404
22/09/2017,1.8404
21/09/2017,1.8404
20/09/2017,1.8404
19/09/2017,1.8404
18/09/2017,1.8404
15/09/2017,1.8404
14/09/2017,1.8404
13/09/2017,1.8404
12/09/2017,1.8404
11/09/2017,1.8404
08/09/2017,1.8404
07/09/2017,1.8404
06/09/2017,1.8404
05/09/2017,1.8404
04/09/2017,1.8404
01/09/2017,1.8404
31/08/2017,1.8404
30/08/2017,2.0899
29/08/2017,2.0899
28/08/2017,2.0899
25/08/2017,2.0899
24/08/2017,2.0899
23/08/2017,2.0899
22/08/2017,2.0899
21/08/2017,2.0899
18/08/2017,2.0899
17/08/2017,2.0899
16/08/2017,2.0899
15/08/2017,2.0899
14/08/2017,2.0899
11/08/2017,2.0899
10/08/2017,2.0899
09/08/2017,2.0899
08/08/2017,2.0899
07/08/2017,2.0899
04/08/2017,2.0899
03/08/2017,2.0899
02/08/2017,2.0899
01/08/2017,2.0899
31/07/2017,2.0899
28/07/2017,2.0247
27/07/2017,2.0247
26/07/2017,2.0247
25/07/2017,2.0247
24/07/2017,2.0247
21/07/2017,2.0247
20/07/2017,2.0247
19/07/2017,2.0247
18/07/2017,2.0247
17/07/2017,2.0247
14/07/2017,2.0247
13/07/2017,2.0247
12/07/2017,2.0247
11/07/2017,2.0247
10/07/2017,2.0247
07/07/2017,2.0247
06/07/2017,2.0247
05/07/2017,2.0247
04/07/2017,2.0247
03/07/2017,2.0247
30/06/2017,2.0247
29/06/2017,2.1805
28/06/2017,2.1805
27/06/2017,2.1805
26/06/2017,2.1805
23/06/2017,2.1805
22/06/2017,2.1805
21/06/2017,2.1805
20/06/2017,2.1805
19/06/2017,2.1805
16/06/2017,2.1805
15/06/2017,2.1805
14/06/2017,2.1805
13/06/2017,2.1805
12/06/2017,2.1805
09/06/2017,2.1805
08/06/2017,2.1805
07/06/2017,2.1805
06/06/2017,2.1805
05/06/2017,2.1805
02/06/2017,2.1805
01/06/2017,2.1805
31/05/2017,2.1805
30/05/2017,1.8589
29/05/2017,1.8589
26/05/2017,1.8589
25/05/2017,1.8589
24/05/2017,1.8589
23/05/2017,1.8589
22/05/2017,1.8589
19/05/2017,1.8589
18/05/2017,1.8589
17/05/2017,1.8589
16/05/2017,1.8589
15/05/2017,1.8589
12/05/2017,1.8589
11/05/2017,1.8589
10/05/2017,1.8589
09/05/2017,1.8589
08/05/2017,1.8589
05/05/2017,1.8589
04/05/2017,1.8589
03/05/2017,1.8589
02/05/2017,1.8589
01/05/2017,1.8589
28/04/2017,0.8789
27/04/2017,0.8789
26/04/2017,0.8789
25/04/2017,0.8789
24/04/2017,0.8789
21/04/2017,0.8789
20/04/2017,0.8789
19/04/2017,0.8789
18/04/2017,0.8789
17/04/2017,0.8789
14/04/2017,0.8789
13/04/2017,0.8789
12/04/2017,0.8789
11/04/2017,0.8789
10/04/2017,0.8789
07/04/2017,0.8789
06/04/2017,0.8789
05/04/2017,0.8789
04/04/2017,0.8789
03/04/2017,0.8789
31/03/2017,0.8789
30/03/2017,0.9347
29/03/2017,0.9347
28/03/2017,0.9347
27/03/2017,0.9347
24/03/2017,0.9347
23/03/2017,0.9347
22/03/2017,0.9347
21/03/2017,0.9347
20/03/2017,0.9347
17/03/2017,0.9347
16/03/2017,0.9347
15/03/2017,0.9347
14/03/2017,0.9347
13/03/2017,0.9347
10/03/2017,0.9347
09/03/2017,0.9347
08/03/2017,0.9347
07/03/2017,0.9347
06/03/2017,0.9347
03/03/2017,0.9347
02/03/2017,0.9347
01/03/2017,0.9347
28/02/2017,0.9347
27/02/2017,0.8418
